,Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
69,69,0,0.026693777085740302,138,2019-09-11 01:00:00,10066.612652189397,0.0,139,2019-09-11 07:00:00,10066.0,0.0,0.016354000974843075,6.08598155669906e-05,Short,Closed,69
70,70,0,0.02638158156458552,140,2019-09-18 17:00:00,10186.979180533775,0.0,141,2019-09-18 23:00:00,10156.940270278292,0.0,0.7924739610162987,0.0029487554380089927,Short,Closed,70
71,71,0,0.02775614650796695,142,2019-09-24 06:00:00,9739.59299402113,0.0,143,2019-09-24 13:00:00,9632.88572938711,0.0,2.9617824706462557,0.010956029137924402,Short,Closed,71
72,72,0,0.03495879847641806,144,2019-10-06 13:00:00,7902.363555133754,0.0,145,2019-10-06 18:00:00,7835.418847276862,0.0,2.3403065510317447,0.008471479120117278,Short,Closed,72
73,73,0,0.03414430964915608,146,2019-10-08 00:00:00,8227.95221224567,0.0,147,2019-10-08 07:00:00,8202.778880982007,0.0,-0.8595260175673047,-0.0030594892403723382,Long,Closed,73
74,74,0,0.035321030241937945,148,2019-10-20 07:00:00,7905.1685119510985,0.0,149,2019-10-20 12:00:00,7950.061671762441,0.0,-1.585672655352596,-0.0056789630408856,Short,Closed,74
75,75,0,0.03032452330617324,150,2019-11-01 09:00:00,9103.106023478347,0.0,151,2019-11-01 15:00:00,9082.448735997385,0.0,0.6264223956587784,0.0022692570456374385,Short,Closed,75
76,76,0,0.02980831911276851,152,2019-11-03 00:00:00,9302.778681004864,0.0,153,2019-11-03 11:00:00,9156.521189638615,0.0,-4.3596899752781155,-0.01572191453558798,Long,Closed,76
77,77,0,0.03717783163800514,154,2019-12-10 23:00:00,7224.219481744572,0.0,155,2019-12-11 05:00:00,7195.583852482459,0.0,1.0646106035551384,0.003963837108558741,Short,Closed,77
78,78,0,0.03819206170341301,156,2019-12-19 13:00:00,7088.123152859666,0.0,157,2019-12-19 18:00:00,7157.52461746654,0.0,-2.65058501857294,-0.009791232899060686,Short,Closed,78
79,79,0,0.033657968527669925,158,2020-01-09 14:00:00,7885.468980698301,0.0,159,2020-01-09 19:00:00,7917.531350034789,0.0,-1.0791542180500642,-0.0040660066528661115,Short,Closed,79
80,80,0,0.03244323788017368,160,2020-01-11 09:00:00,8114.188827713625,0.0,161,2020-01-11 16:00:00,8169.447825796614,0.0,1.7927808198264756,0.006810169107015922,Long,Closed,80
81,81,0,0.0261502552583732,162,2020-02-11 22:00:00,10203.958521451676,0.0,163,2020-02-12 03:00:00,10262.971304477647,0.0,1.5431993396361463,0.005783322511739878,Long,Closed,81
82,82,0,0.027199302767370148,164,2020-02-15 22:00:00,9923.87639380597,0.0,165,2020-02-16 03:00:00,10000.674080710724,0.0,-2.0888435379561088,-0.007738678300415741,Short,Closed,82
83,83,0,0.030126178420133442,166,2020-03-03 09:00:00,8821.060138433471,0.0,167,2020-03-03 21:00:00,8733.264978180665,0.0,-2.644932662200233,-0.009952903491756177,Long,Closed,83
84,84,0,0.033016812357305456,168,2020-03-09 09:00:00,7888.55578915824,0.0,169,2020-03-09 14:00:00,7722.592161614056,0.0,5.4795899487640725,0.02103853125717628,Short,Closed,84
85,85,0,0.04598695266225797,170,2020-03-23 04:00:00,5901.981550107237,0.0,171,2020-03-23 09:00:00,5790.893465335655,0.0,5.108602495731702,0.01882216740741334,Short,Closed,85
86,86,0,0.029739224027996912,172,2020-05-16 06:00:00,9470.030249768224,0.0,173,2020-05-16 16:00:00,9385.73582736234,0.0,2.5068507122392134,0.00890117773466964,Short,Closed,86
87,87,0,0.030501046504095145,174,2020-06-12 18:00:00,9397.875988804435,0.0,175,2020-06-12 23:00:00,9465.205271601406,0.0,2.0536135856777946,0.007164308496641132,Long,Closed,87
